,Player,Pos,Age,Team,Games,Minutes Played,Fields Goal,Fields Goal Attempted,3-points Field Goal,3-points Field Goal Attempted,2-points Field Goal,2-points Field Goal Attempted,Free Throws,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Rank,Year
1977,Dion Waiters,SG,28,TOT,10,20.7,4.1,9.9,1.5,4.7,2.6,5.2,1.4,1.7,0.2,2.2,2.4,2.0,0.4,0.6,1.6,2.1,11.1,494,2020
1978,Dion Waiters,SG,28,MIA,3,14.0,3.3,8.7,2.7,5.7,0.7,3.0,0.0,0.3,0.0,3.7,3.7,1.0,0.0,0.7,1.0,1.7,9.3,494,2020
1979,Dion Waiters,SG,28,LAL,7,23.6,4.4,10.4,1.0,4.3,3.4,6.1,2.0,2.3,0.3,1.6,1.9,2.4,0.6,0.6,1.9,2.3,11.9,494,2020
1980,Kemba Walker,PG,29,BOS,56,31.1,6.8,15.9,3.2,8.4,3.5,7.4,3.7,4.3,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4,495,2020
1981,Lonnie Walker,SG,21,SAS,61,16.2,2.5,5.9,0.7,1.7,1.8,4.2,0.7,1.0,0.4,1.9,2.3,1.1,0.5,0.2,0.7,1.3,6.4,496,2020
1982,Tyrone Wallace,SG,25,ATL,14,11.4,1.0,3.1,0.1,1.1,0.9,2.1,0.8,1.2,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,2.9,497,2020
1983,Derrick Walton,PG,24,TOT,26,9.5,0.7,1.5,0.4,0.9,0.3,0.6,0.3,0.3,0.1,0.5,0.6,1.0,0.3,0.0,0.2,0.8,2.0,498,2020
1984,Derrick Walton,PG,24,LAC,23,9.7,0.7,1.6,0.4,0.9,0.3,0.7,0.3,0.4,0.1,0.6,0.7,1.0,0.2,0.0,0.2,0.8,2.2,498,2020
1985,Derrick Walton,PG,24,DET,3,8.7,0.3,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.7,1.0,0.0,0.3,0.7,1.0,498,2020
1986,Brad Wanamaker,PG,30,BOS,71,19.3,2.3,5.1,0.5,1.4,1.8,3.7,1.8,1.9,0.3,1.7,2.0,2.5,0.9,0.2,1.1,1.9,6.9,499,2020
1987,T.J. Warren,SF,26,IND,67,32.9,8.0,14.9,1.4,3.4,6.6,11.5,2.5,3.0,1.0,3.2,4.2,1.5,1.2,0.5,1.3,2.8,19.8,500,2020
