,Player,Pos,Age,Team,Games,Minutes Played,Fields Goal,Fields Goal Attempted,3-points Field Goal,3-points Field Goal Attempted,2-points Field Goal,2-points Field Goal Attempted,Free Throws,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Rank,Year
0,Álex Abrines,SG,24,OKC,75,15.1,1.5,3.9,1.1,2.9,0.4,0.9,0.5,0.6,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,1,2018
1,Quincy Acy,PF,27,BRK,70,19.4,1.9,5.2,1.5,4.2,0.4,1.0,0.7,0.9,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9,2,2018
2,Steven Adams,C,24,OKC,76,32.7,5.9,9.4,0.0,0.0,5.9,9.3,2.1,3.8,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,13.9,3,2018
3,Bam Adebayo,C,20,MIA,69,19.8,2.5,4.9,0.0,0.1,2.5,4.8,1.9,2.6,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,6.9,4,2018
4,Arron Afflalo,SG,32,ORL,53,12.9,1.2,3.1,0.5,1.3,0.7,1.7,0.4,0.5,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,3.4,5,2018
5,Cole Aldrich,C,29,MIN,21,2.3,0.2,0.7,0.0,0.0,0.2,0.7,0.1,0.3,0.1,0.6,0.7,0.1,0.1,0.0,0.0,0.5,0.6,6,2018
6,LaMarcus Aldridge,C,32,SAS,75,33.5,9.2,18.0,0.4,1.2,8.8,16.7,4.5,5.3,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,23.1,7,2018
7,Jarrett Allen,C,19,BRK,72,20.0,3.3,5.5,0.1,0.2,3.2,5.3,1.6,2.0,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,8.2,8,2018
8,Kadeem Allen,PG,25,BOS,18,5.9,0.3,1.2,0.0,0.6,0.3,0.6,0.4,0.5,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.1,9,2018
9,Tony Allen,SF,36,NOP,22,12.4,2.0,4.1,0.2,0.5,1.8,3.6,0.5,1.0,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7,10,2018
10,Al-Farouq Aminu,PF,27,POR,69,30.0,3.3,8.4,1.8,4.9,1.5,3.5,0.9,1.2,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2.0,9.3,11,2018
11,Justin Anderson,SF,24,PHI,38,13.7,2.3,5.3,0.9,2.7,1.4,2.6,0.7,1.0,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,6.2,12,2018
12,Kyle Anderson,SF,24,SAS,74,26.7,3.1,5.9,0.3,0.8,2.9,5.1,1.4,2.0,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9,13,2018
13,Ryan Anderson,PF,29,HOU,66,26.1,3.1,7.3,2.0,5.1,1.2,2.1,1.1,1.4,1.4,3.6,5.0,0.9,0.4,0.3,0.6,1.9,9.3,14,2018
14,Ike Anigbogu,C,19,IND,11,2.7,0.4,0.8,0.0,0.0,0.4,0.8,0.5,0.5,0.5,0.4,0.8,0.0,0.1,0.3,0.2,0.1,1.2,15,2018
15,Giannis Antetokounmpo,PF,23,MIL,75,36.7,9.9,18.7,0.6,1.9,9.3,16.8,6.5,8.5,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9,16,2018
16,Carmelo Anthony,PF,33,OKC,78,32.1,6.1,15.0,2.2,6.1,3.9,8.9,1.9,2.5,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2,17,2018
17,OG Anunoby,SF,20,TOR,74,20.0,2.2,4.7,1.0,2.7,1.2,2.0,0.5,0.8,0.6,1.9,2.5,0.7,0.7,0.2,0.6,1.8,5.9,18,2018
18,Ryan Arcidiacono,PG,23,CHI,24,12.7,0.7,1.7,0.4,1.3,0.3,0.4,0.2,0.3,0.0,1.0,1.0,1.5,0.5,0.0,0.5,0.8,2.0,19,2018
19,Trevor Ariza,SF,32,HOU,67,33.9,4.0,9.7,2.5,6.9,1.5,2.8,1.1,1.3,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2.0,11.7,20,2018
20,Darrell Arthur,PF,29,DEN,19,7.4,1.2,2.5,0.4,1.2,0.7,1.3,0.1,0.2,0.2,0.6,0.8,0.5,0.4,0.2,0.8,1.2,2.8,21,2018
21,Jamel Artis,SG,25,ORL,15,18.6,2.1,5.3,0.5,1.9,1.5,3.3,0.5,0.8,0.3,2.3,2.5,1.2,0.1,0.2,0.5,0.7,5.1,22,2018
22,Ömer Aşık,C,31,TOT,18,10.1,0.5,1.2,0.0,0.0,0.5,1.2,0.2,0.7,0.5,2.1,2.6,0.2,0.1,0.2,0.5,1.1,1.2,23,2018
23,Ömer Aşık,C,31,NOP,14,8.6,0.5,1.1,0.0,0.0,0.5,1.1,0.3,0.9,0.5,2.1,2.6,0.1,0.1,0.1,0.4,1.0,1.3,23,2018
24,Ömer Aşık,C,31,CHI,4,15.3,0.5,1.5,0.0,0.0,0.5,1.5,0.0,0.3,0.5,2.0,2.5,0.3,0.3,0.5,1.0,1.5,1.0,23,2018
25,D.J. Augustin,PG,30,ORL,75,23.5,3.3,7.2,1.5,3.6,1.7,3.6,2.2,2.5,0.4,1.7,2.1,3.8,0.7,0.0,1.6,1.3,10.2,24,2018
26,Luke Babbitt,SF,28,TOT,50,14.3,1.8,4.3,1.2,3.1,0.6,1.2,0.3,0.4,0.1,1.8,1.9,0.6,0.2,0.1,0.4,1.1,5.2,25,2018
27,Luke Babbitt,SF,28,ATL,37,15.4,2.2,4.5,1.3,3.0,0.8,1.5,0.5,0.6,0.1,2.1,2.2,0.7,0.2,0.1,0.4,1.3,6.1,25,2018
28,Luke Babbitt,SF,28,MIA,13,11.2,0.8,3.6,0.8,3.5,0.0,0.2,0.0,0.0,0.2,1.0,1.2,0.4,0.1,0.2,0.3,0.5,2.5,25,2018
29,Dwayne Bacon,SG,22,CHO,53,13.5,1.4,3.6,0.2,0.8,1.2,2.8,0.4,0.5,0.1,2.3,2.3,0.7,0.3,0.0,0.4,0.9,3.3,26,2018
30,Ron Baker,SG,24,NYK,29,13.3,0.7,2.0,0.4,1.1,0.3,0.9,0.7,0.9,0.2,0.9,1.0,1.6,0.9,0.2,0.6,1.1,2.4,27,2018
31,Wade Baldwin,PG,21,POR,7,11.4,2.0,3.0,0.6,0.7,1.4,2.3,0.9,1.4,0.1,1.0,1.1,0.7,0.3,0.1,0.6,1.7,5.4,28,2018
32,Lonzo Ball,PG,20,LAL,52,34.2,3.9,10.8,1.7,5.7,2.2,5.2,0.6,1.4,1.3,5.6,6.9,7.2,1.7,0.8,2.6,2.3,10.2,29,2018
33,J.J. Barea,PG,33,DAL,69,23.2,4.4,10.0,1.7,4.5,2.7,5.5,1.2,1.5,0.2,2.7,2.9,6.3,0.5,0.0,2.1,1.2,11.6,30,2018
34,Harrison Barnes,PF,25,DAL,77,34.2,7.0,15.7,1.5,4.3,5.4,11.4,3.4,4.1,1.0,5.1,6.1,2.0,0.6,0.2,1.5,1.2,18.9,31,2018
35,Will Barton,SG,27,DEN,81,33.1,5.7,12.7,1.9,5.2,3.8,7.5,2.2,2.8,0.9,4.2,5.0,4.1,1.0,0.6,1.8,2.1,15.7,32,2018
36,Nicolas Batum,SG,29,CHO,64,31.0,4.2,10.2,1.4,4.3,2.8,5.9,1.7,2.0,0.9,3.9,4.8,5.5,1.0,0.4,2.0,1.1,11.6,33,2018
37,Jerryd Bayless,SG,29,PHI,39,23.7,2.8,6.7,1.4,3.7,1.4,3.0,0.9,1.1,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,7.9,34,2018
38,Aron Baynes,C,31,BOS,81,18.3,2.6,5.5,0.0,0.3,2.6,5.2,0.7,1.0,1.6,3.8,5.4,1.1,0.3,0.6,1.0,2.5,6.0,35,2018
39,Kent Bazemore,SG,28,ATL,65,27.5,4.4,10.4,1.7,4.2,2.7,6.2,2.5,3.1,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9,36,2018
40,Bradley Beal,SG,24,WAS,82,36.3,8.3,18.1,2.4,6.5,5.9,11.6,3.6,4.5,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2.0,22.6,37,2018
41,Malik Beasley,SG,21,DEN,62,9.4,1.2,2.9,0.5,1.3,0.7,1.5,0.4,0.5,0.2,0.9,1.1,0.5,0.2,0.1,0.4,0.6,3.2,38,2018
42,Michael Beasley,PF,29,NYK,74,22.3,5.5,10.9,0.5,1.2,5.1,9.7,1.7,2.1,1.3,4.3,5.6,1.7,0.5,0.6,1.9,2.0,13.2,39,2018
43,Marco Belinelli,SG,31,TOT,80,24.3,4.2,9.6,1.9,4.9,2.4,4.6,1.9,2.0,0.3,1.6,1.9,1.9,0.8,0.2,1.2,1.1,12.1,40,2018
44,Marco Belinelli,SG,31,ATL,52,23.3,3.8,9.3,1.8,4.8,2.1,4.6,1.9,2.1,0.3,1.7,1.9,2.0,0.9,0.1,1.0,0.8,11.4,40,2018
45,Marco Belinelli,SG,31,PHI,28,26.3,4.9,10.0,2.0,5.3,2.9,4.7,1.7,1.9,0.2,1.6,1.8,1.6,0.7,0.3,1.4,1.8,13.6,40,2018
46,Jordan Bell,C,23,GSW,57,14.2,2.0,3.2,0.0,0.1,2.0,3.2,0.5,0.8,1.1,2.6,3.6,1.8,0.6,1.0,0.9,1.6,4.6,41,2018
47,DeAndre' Bembry,SF,23,ATL,26,17.5,2.0,4.9,0.4,1.2,1.6,3.8,0.7,1.3,0.3,2.5,2.8,1.9,0.8,0.5,1.8,1.5,5.2,42,2018
48,Dragan Bender,PF,20,PHO,82,25.2,2.3,5.9,1.4,3.9,0.8,2.0,0.5,0.6,0.5,3.9,4.4,1.6,0.3,0.6,1.4,2.0,6.5,43,2018
49,Dāvis Bertāns,PF,25,SAS,77,14.1,2.1,4.8,1.2,3.3,0.9,1.5,0.5,0.6,0.2,1.8,2.0,1.0,0.3,0.4,0.5,1.2,5.9,44,2018
50,Patrick Beverley,SG,29,LAC,11,30.4,4.4,10.8,2.2,5.5,2.2,5.4,1.3,1.5,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2,45,2018
51,Khem Birch,C,25,ORL,42,13.8,1.6,3.0,0.0,0.0,1.6,3.0,1.0,1.5,1.7,2.6,4.3,0.8,0.4,0.5,0.5,1.3,4.2,46,2018
52,Jabari Bird,SG,23,BOS,13,8.8,1.2,2.0,0.2,0.5,0.9,1.5,0.5,1.0,0.5,1.0,1.5,0.6,0.2,0.1,0.6,0.5,3.0,47,2018
53,Bismack Biyombo,C,25,ORL,82,18.2,2.2,4.3,0.0,0.0,2.2,4.3,1.2,1.9,1.8,4.0,5.7,0.8,0.3,1.2,1.0,1.9,5.7,48,2018
54,Nemanja Bjelica,PF,29,MIN,67,20.5,2.6,5.5,1.1,2.7,1.4,2.8,0.5,0.7,0.8,3.3,4.1,1.3,0.7,0.2,0.8,2.1,6.8,49,2018
55,Tarik Black,C,26,HOU,51,10.5,1.5,2.5,0.0,0.2,1.5,2.3,0.6,1.2,1.2,2.0,3.2,0.3,0.4,0.6,0.7,2.1,3.5,50,2018
56,Antonio Blakeney,SG,21,CHI,19,16.5,2.8,7.5,0.8,2.7,2.0,4.8,1.6,2.1,0.2,1.5,1.7,1.1,0.4,0.1,0.6,1.0,7.9,51,2018
57,Eric Bledsoe,PG,28,TOT,74,31.4,6.3,13.4,1.7,4.9,4.6,8.5,3.4,4.3,0.7,3.1,3.8,5.0,2.0,0.6,2.9,2.5,17.7,52,2018
58,Eric Bledsoe,PG,28,PHO,3,27.7,5.3,13.3,1.3,4.3,4.0,9.0,3.7,4.7,1.0,1.3,2.3,3.0,1.3,0.7,3.3,2.0,15.7,52,2018
59,Eric Bledsoe,PG,28,MIL,71,31.5,6.4,13.4,1.7,4.9,4.7,8.5,3.4,4.3,0.7,3.2,3.9,5.1,2.0,0.6,2.9,2.5,17.8,52,2018
60,Vander Blue,SG,25,LAL,5,9.0,0.2,1.0,0.0,0.4,0.2,0.6,0.2,0.4,0.0,0.2,0.2,0.6,0.2,0.0,0.6,0.4,0.6,53,2018
61,Bogdan Bogdanović,SG,25,SAC,78,27.9,4.4,9.9,1.7,4.2,2.8,5.7,1.3,1.5,0.4,2.5,2.9,3.3,0.9,0.2,1.6,2.2,11.8,54,2018
62,Bojan Bogdanović,SF,28,IND,80,30.8,5.1,10.7,1.9,4.8,3.1,5.8,2.2,2.6,0.4,3.0,3.4,1.5,0.7,0.1,1.3,1.6,14.3,55,2018
63,Andrew Bogut,C,33,LAL,24,9.0,0.7,1.0,0.0,0.0,0.7,1.0,0.1,0.1,1.1,2.2,3.3,0.6,0.2,0.5,0.8,1.7,1.5,56,2018
64,Joel Bolomboy,PF,24,MIL,6,6.3,0.5,1.0,0.0,0.2,0.5,0.8,0.5,1.0,1.0,0.7,1.7,0.0,0.3,0.0,0.3,0.5,1.5,57,2018
65,Devin Booker,SG,21,PHO,54,34.5,8.4,19.5,2.7,7.1,5.7,12.4,5.4,6.1,0.5,4.0,4.5,4.7,0.9,0.3,3.6,3.1,24.9,58,2018
66,Trevor Booker,PF,30,TOT,68,17.0,2.6,5.0,0.1,0.5,2.5,4.6,1.0,1.4,1.7,3.0,4.7,1.2,0.4,0.3,0.9,1.8,6.3,59,2018
67,Trevor Booker,PF,30,BRK,18,21.9,4.3,8.3,0.2,0.7,4.1,7.7,1.3,2.4,2.1,4.5,6.6,2.1,0.4,0.3,1.7,2.4,10.1,59,2018
68,Trevor Booker,PF,30,PHI,33,15.0,1.8,3.3,0.1,0.2,1.8,3.1,1.0,1.2,1.4,2.3,3.7,0.8,0.5,0.3,0.6,1.5,4.7,59,2018
69,Trevor Booker,PF,30,IND,17,15.8,2.3,4.9,0.2,0.8,2.1,4.1,0.6,0.6,1.9,2.6,4.5,1.0,0.2,0.3,0.5,1.5,5.4,59,2018
