,Player,Pos,Age,Team,Games,Minutes Played,Fields Goal,Fields Goal Attempted,3-points Field Goal,3-points Field Goal Attempted,2-points Field Goal,2-points Field Goal Attempted,Free Throws,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Rank,Year
2023,Precious Achiuwa,PF,21,MIA,61,12.1,2.0,3.7,0.0,0.0,2.0,3.7,0.9,1.8,1.2,2.2,3.4,0.5,0.3,0.5,0.7,1.5,5.0,1,2021
2024,Jaylen Adams,PG,24,MIL,7,2.6,0.1,1.1,0.0,0.3,0.1,0.9,0.0,0.0,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3,2,2021
2025,Steven Adams,C,27,NOP,58,27.7,3.3,5.3,0.0,0.1,3.3,5.3,1.0,2.3,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6,3,2021
2026,Bam Adebayo,C,23,MIA,64,33.5,7.1,12.5,0.0,0.1,7.1,12.4,4.4,5.5,2.2,6.7,9.0,5.4,1.2,1.0,2.6,2.3,18.7,4,2021
2027,LaMarcus Aldridge,C,35,TOT,26,25.9,5.4,11.4,1.2,3.1,4.2,8.3,1.6,1.8,0.7,3.8,4.5,1.9,0.4,1.1,1.0,1.8,13.5,5,2021
2028,LaMarcus Aldridge,C,35,SAS,21,25.9,5.5,11.8,1.3,3.6,4.2,8.2,1.5,1.8,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7,5,2021
2029,LaMarcus Aldridge,C,35,BRK,5,26.0,5.0,9.6,0.8,1.0,4.2,8.6,2.0,2.0,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8,5,2021
2030,Ty-Shon Alexander,SG,22,PHO,15,3.1,0.2,0.8,0.1,0.6,0.1,0.2,0.1,0.1,0.1,0.5,0.7,0.4,0.0,0.1,0.2,0.1,0.6,6,2021
2031,Nickeil Alexander-Walker,SG,22,NOP,46,21.9,4.2,10.0,1.7,4.8,2.5,5.2,1.0,1.4,0.3,2.8,3.1,2.2,1.0,0.5,1.5,1.9,11.0,7,2021
2032,Grayson Allen,SG,25,MEM,50,25.2,3.5,8.3,2.1,5.5,1.3,2.8,1.6,1.8,0.4,2.8,3.2,2.2,0.9,0.2,1.0,1.4,10.6,8,2021
2033,Jarrett Allen,C,22,TOT,63,29.6,4.7,7.7,0.1,0.3,4.6,7.3,3.2,4.6,3.1,6.9,10.0,1.7,0.5,1.4,1.6,1.5,12.8,9,2021
2034,Jarrett Allen,C,22,BRK,12,26.7,3.7,5.4,0.0,0.0,3.7,5.4,3.8,5.1,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2,9,2021
2035,Jarrett Allen,C,22,CLE,51,30.3,5.0,8.2,0.1,0.4,4.9,7.8,3.1,4.5,3.1,6.8,9.9,1.7,0.5,1.4,1.5,1.5,13.2,9,2021
2036,Al-Farouq Aminu,PF,30,TOT,23,18.9,1.7,4.3,0.3,1.6,1.3,2.7,0.8,1.0,1.0,3.8,4.8,1.3,0.8,0.4,1.2,1.3,4.4,10,2021
2037,Al-Farouq Aminu,PF,30,ORL,17,21.6,2.1,5.2,0.4,1.8,1.7,3.4,0.8,1.0,1.2,4.2,5.4,1.7,1.0,0.5,1.5,1.3,5.5,10,2021
2038,Al-Farouq Aminu,PF,30,CHI,6,11.2,0.3,1.7,0.2,1.0,0.2,0.7,0.7,0.8,0.3,2.8,3.2,0.3,0.3,0.0,0.5,1.2,1.5,10,2021
2039,Kyle Anderson,PF,27,MEM,69,27.3,4.5,9.5,1.4,3.8,3.1,5.8,2.1,2.7,0.8,5.0,5.7,3.6,1.2,0.8,1.2,1.7,12.4,11,2021
2040,Giannis Antetokounmpo,PF,26,MIL,61,33.0,10.3,18.0,1.1,3.6,9.2,14.4,6.5,9.5,1.6,9.4,11.0,5.9,1.2,1.2,3.4,2.8,28.1,12,2021
2041,Kostas Antetokounmpo,PF,23,LAL,15,3.7,0.2,0.7,0.0,0.0,0.2,0.7,0.4,0.9,0.3,1.0,1.3,0.1,0.1,0.3,0.7,0.5,0.8,13,2021
2042,Thanasis Antetokounmpo,SF,28,MIL,57,9.7,1.2,2.4,0.1,0.5,1.1,1.9,0.4,0.9,0.9,1.2,2.2,0.8,0.4,0.2,0.8,1.3,2.9,14,2021
2043,Carmelo Anthony,PF,36,POR,69,24.5,4.7,11.3,1.9,4.7,2.8,6.6,2.0,2.2,0.5,2.6,3.1,1.5,0.7,0.6,0.9,2.1,13.4,15,2021
