,Player,Pos,Age,Team,Games,Minutes Played,Fields Goal,Fields Goal Attempted,3-points Field Goal,3-points Field Goal Attempted,2-points Field Goal,2-points Field Goal Attempted,Free Throws,Free Throws Attempted,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Rank,Year
2044,Cole Anthony,PG,20,ORL,47,27.1,4.7,11.7,1.2,3.7,3.4,8.1,2.3,2.8,0.8,3.9,4.7,4.1,0.6,0.4,2.3,2.1,12.9,16,2021
2045,OG Anunoby,SF,23,TOR,43,33.3,5.8,12.1,2.4,6.1,3.4,6.0,1.9,2.4,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,15.9,17,2021
2046,Ryan Arcidiacono,PG,26,CHI,44,10.2,1.1,2.7,0.6,1.5,0.5,1.1,0.3,0.5,0.1,1.4,1.5,1.3,0.2,0.0,0.2,1.1,3.1,18,2021
2047,Trevor Ariza,SF,35,MIA,30,28.0,3.3,8.0,1.7,4.8,1.6,3.3,1.1,1.5,0.9,3.9,4.8,1.8,1.0,0.6,0.7,1.8,9.4,19,2021
2048,D.J. Augustin,PG,33,TOT,57,19.8,2.4,6.0,1.5,3.8,0.9,2.2,1.5,1.6,0.4,1.3,1.6,3.3,0.5,0.0,1.1,1.0,7.7,20,2021
2049,D.J. Augustin,PG,33,MIL,37,19.3,1.9,5.2,1.3,3.5,0.6,1.7,1.0,1.1,0.3,1.1,1.4,3.0,0.5,0.0,0.9,0.9,6.1,20,2021
2050,D.J. Augustin,PG,33,HOU,20,20.8,3.2,7.6,1.7,4.4,1.5,3.2,2.5,2.7,0.5,1.8,2.2,3.9,0.4,0.0,1.6,1.2,10.6,20,2021
2051,Deni Avdija,SF,20,WAS,54,23.3,2.4,5.8,1.0,3.1,1.4,2.7,0.5,0.8,0.4,4.4,4.9,1.2,0.6,0.3,0.6,2.6,6.3,21,2021
2052,Deandre Ayton,C,22,PHO,69,30.7,6.2,10.0,0.1,0.3,6.2,9.7,1.9,2.5,3.3,7.2,10.5,1.4,0.6,1.2,1.5,2.8,14.4,22,2021
2053,Udoka Azubuike,C,21,UTA,15,3.8,0.3,0.6,0.0,0.0,0.3,0.6,0.5,0.7,0.3,0.6,0.9,0.0,0.1,0.3,0.2,0.6,1.1,23,2021
2054,Dwayne Bacon,SG,25,ORL,72,25.7,4.1,10.1,0.8,2.9,3.2,7.2,2.0,2.4,0.4,2.7,3.1,1.3,0.6,0.1,0.6,1.4,10.9,24,2021
2055,Marvin Bagley III,PF,21,SAC,43,25.9,5.7,11.4,0.9,2.5,4.9,8.9,1.8,3.1,2.5,4.9,7.4,1.0,0.5,0.5,1.4,2.3,14.1,25,2021
2056,LaMelo Ball,PG,19,CHO,51,28.8,5.7,13.2,1.8,5.1,3.9,8.1,2.5,3.2,1.2,4.7,5.9,6.1,1.6,0.4,2.8,2.7,15.7,26,2021
2057,Lonzo Ball,PG,23,NOP,55,31.8,5.3,12.7,3.1,8.3,2.1,4.5,0.9,1.2,0.6,4.2,4.8,5.7,1.5,0.6,2.2,1.9,14.6,27,2021
2058,Mo Bamba,C,22,ORL,46,15.8,3.1,6.5,0.8,2.6,2.3,4.0,1.0,1.4,1.7,4.1,5.8,0.8,0.3,1.3,0.8,1.9,8.0,28,2021
2059,Desmond Bane,SG,22,MEM,68,22.3,3.4,7.3,1.7,4.0,1.7,3.4,0.6,0.7,0.5,2.6,3.1,1.7,0.6,0.2,0.9,1.8,9.2,29,2021
2060,Harrison Barnes,PF,28,SAC,58,36.2,5.5,11.1,1.7,4.4,3.8,6.7,3.4,4.1,1.1,5.5,6.6,3.5,0.7,0.2,1.6,1.3,16.1,30,2021
2061,RJ Barrett,SG,20,NYK,72,34.9,6.5,14.7,1.7,4.3,4.8,10.4,2.9,3.8,0.9,4.8,5.8,3.0,0.7,0.3,1.9,2.6,17.6,31,2021
2062,Will Barton,SF,30,DEN,56,31.0,4.6,10.9,1.8,4.6,2.9,6.3,1.7,2.2,0.7,3.3,4.0,3.2,0.9,0.4,1.7,1.7,12.7,32,2021
2063,Keita Bates-Diop,SF,25,SAS,30,8.2,1.0,2.2,0.2,0.6,0.8,1.7,0.5,0.7,0.3,1.3,1.6,0.4,0.4,0.2,0.2,0.4,2.6,33,2021
2064,Nicolas Batum,SF,32,LAC,67,27.4,2.9,6.1,1.6,4.1,1.2,2.1,0.7,0.9,0.7,4.0,4.7,2.2,1.0,0.6,0.8,1.5,8.1,34,2021
2065,Aron Baynes,C,34,TOR,53,18.5,2.5,5.7,0.5,1.9,2.0,3.8,0.5,0.8,1.6,3.5,5.2,0.9,0.3,0.4,0.9,2.2,6.1,35,2021
2066,Kent Bazemore,SF,31,GSW,67,19.9,2.6,5.9,1.1,2.7,1.5,3.1,0.8,1.2,0.4,3.0,3.4,1.6,1.0,0.5,1.2,2.4,7.2,36,2021
2067,Darius Bazley,PF,20,OKC,55,31.2,5.0,12.5,1.5,5.2,3.5,7.3,2.3,3.2,0.9,6.3,7.2,1.8,0.5,0.5,2.2,1.1,13.7,37,2021
2068,Bradley Beal,SG,27,WAS,60,35.8,11.2,23.0,2.2,6.2,9.0,16.8,6.8,7.7,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.3,38,2021
2069,Malik Beasley,SG,24,MIN,37,32.8,7.1,16.2,3.5,8.7,3.7,7.5,1.8,2.2,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6,39,2021
2070,Jordan Bell,C,26,TOT,6,13.7,1.2,3.7,0.0,0.3,1.2,3.3,0.2,0.3,1.2,2.8,4.0,1.2,0.5,0.8,0.7,1.2,2.5,40,2021
2071,Jordan Bell,C,26,WAS,5,13.4,1.4,4.0,0.0,0.4,1.4,3.6,0.0,0.0,1.2,2.6,3.8,1.0,0.6,0.6,0.6,1.0,2.8,40,2021
2072,Jordan Bell,C,26,GSW,1,15.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,5.0,2.0,0.0,2.0,1.0,2.0,1.0,40,2021
2073,DeAndre' Bembry,SF,26,TOR,51,19.1,2.3,4.5,0.3,1.0,2.0,3.4,0.9,1.3,0.6,2.2,2.9,2.1,1.0,0.4,1.4,1.7,5.7,41,2021
2074,Dāvis Bertāns,PF,28,WAS,57,25.7,3.4,8.4,3.0,7.5,0.4,0.9,1.8,2.0,0.3,2.6,2.9,0.9,0.6,0.2,0.6,2.4,11.5,42,2021
2075,Patrick Beverley,PG,32,LAC,37,22.5,2.5,5.9,1.5,3.8,1.0,2.1,1.0,1.2,0.8,2.4,3.2,2.1,0.8,0.8,0.9,2.9,7.5,43,2021
2076,Saddiq Bey,SF,21,DET,70,27.3,4.0,9.9,2.5,6.6,1.5,3.3,1.8,2.1,0.6,3.9,4.5,1.4,0.7,0.2,0.9,1.6,12.2,44,2021
2077,Tyler Bey,SF,22,DAL,18,3.9,0.4,1.2,0.1,0.2,0.3,1.0,0.2,0.3,0.4,0.6,1.1,0.2,0.0,0.1,0.2,0.3,1.0,45,2021
2078,Khem Birch,C,28,TOT,67,22.8,2.8,5.7,0.2,0.8,2.6,4.9,1.4,1.9,2.6,3.2,5.8,1.3,0.7,0.7,0.7,1.7,7.2,46,2021
2079,Khem Birch,C,28,ORL,48,19.8,2.0,4.4,0.1,0.4,1.9,3.9,1.3,1.8,2.4,2.6,5.1,1.1,0.7,0.6,0.5,1.4,5.3,46,2021
2080,Khem Birch,C,28,TOR,19,30.4,5.0,9.0,0.5,1.6,4.5,7.4,1.5,2.3,3.0,4.6,7.6,1.9,0.8,1.2,1.1,2.4,11.9,46,2021
2081,Goga Bitadze,C,21,IND,45,12.5,1.8,4.3,0.4,1.8,1.4,2.6,1.0,1.4,1.3,2.0,3.3,0.8,0.2,1.3,0.4,2.1,5.1,47,2021
2082,Bismack Biyombo,C,28,CHO,66,20.4,2.2,3.7,0.0,0.0,2.2,3.7,0.7,1.6,2.1,3.2,5.3,1.2,0.3,1.1,1.1,2.1,5.0,48,2021
2083,Nemanja Bjelica,PF,32,TOT,37,16.1,2.4,5.3,0.7,2.3,1.7,3.0,1.0,1.4,0.8,2.6,3.4,1.9,0.4,0.1,0.9,1.8,6.5,49,2021
2084,Nemanja Bjelica,PF,32,SAC,26,16.9,2.7,5.8,0.7,2.2,2.0,3.5,1.2,1.6,0.9,2.9,3.8,1.9,0.3,0.1,1.1,1.8,7.2,49,2021
2085,Nemanja Bjelica,PF,32,MIA,11,14.2,1.8,4.2,0.9,2.5,0.9,1.7,0.5,0.8,0.5,2.0,2.5,1.8,0.6,0.3,0.5,1.8,5.0,49,2021
2086,Eric Bledsoe,SG,31,NOP,71,29.7,4.3,10.3,1.7,5.0,2.6,5.3,1.9,2.7,0.4,3.0,3.4,3.8,0.8,0.3,1.6,1.6,12.2,50,2021
2087,Keljin Blevins,SF,25,POR,17,4.4,0.3,1.2,0.1,0.5,0.2,0.7,0.0,0.0,0.2,0.4,0.6,0.2,0.1,0.0,0.3,0.5,0.7,51,2021
2088,Bogdan Bogdanović,SG,28,ATL,44,29.7,6.1,12.8,3.3,7.6,2.8,5.3,0.9,1.0,0.5,3.2,3.6,3.3,1.1,0.3,1.2,2.3,16.4,52,2021
2089,Bojan Bogdanović,SF,31,UTA,72,30.8,5.6,12.8,2.5,6.4,3.1,6.4,3.2,3.7,0.6,3.3,3.9,1.9,0.6,0.1,1.8,1.6,17.0,53,2021
2090,Bol Bol,PF,21,DEN,32,5.0,0.8,1.8,0.3,0.8,0.5,1.1,0.3,0.5,0.0,0.8,0.8,0.2,0.1,0.3,0.4,0.4,2.2,54,2021
2091,Marques Bolden,C,22,CLE,6,4.8,0.2,0.5,0.0,0.0,0.2,0.5,0.8,1.3,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2,55,2021
2092,Jordan Bone,PG,23,ORL,14,14.0,1.6,3.9,0.7,2.3,0.9,1.6,0.0,0.0,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0,56,2021
2093,Isaac Bonga,SF,21,WAS,40,10.8,0.8,2.0,0.3,1.2,0.4,0.9,0.1,0.2,0.5,1.2,1.7,0.6,0.3,0.2,0.6,1.6,2.0,57,2021
2094,Devin Booker,SG,24,PHO,67,33.9,9.3,19.2,1.9,5.5,7.4,13.7,5.1,5.9,0.5,3.7,4.2,4.3,0.8,0.2,3.1,2.7,25.6,58,2021
2095,Chris Boucher,C,28,TOR,60,24.2,4.8,9.3,1.5,3.9,3.3,5.4,2.5,3.2,2.0,4.8,6.7,1.1,0.6,1.9,0.8,2.8,13.6,59,2021
2096,Brian Bowen,SF,22,IND,6,2.5,0.2,0.7,0.0,0.2,0.2,0.5,0.2,0.2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.5,60,2021
2097,Avery Bradley,SG,30,TOT,27,22.3,2.4,6.3,1.2,3.7,1.1,2.6,0.4,0.6,0.3,1.8,2.1,1.7,0.8,0.1,1.0,2.0,6.4,61,2021
2098,Avery Bradley,SG,30,MIA,10,21.1,3.1,6.6,1.6,3.8,1.5,2.8,0.7,0.9,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5,61,2021
2099,Avery Bradley,SG,30,HOU,17,23.0,1.9,6.2,1.0,3.7,0.9,2.5,0.3,0.4,0.4,1.9,2.3,1.9,0.8,0.1,1.1,1.7,5.2,61,2021
2100,Tony Bradley,C,23,TOT,42,16.3,3.1,4.7,0.0,0.1,3.1,4.6,0.9,1.3,2.0,3.7,5.7,0.9,0.4,0.7,0.8,1.5,7.1,62,2021
2101,Tony Bradley,C,23,PHI,20,14.4,2.6,3.8,0.0,0.1,2.6,3.7,0.4,0.6,2.0,3.3,5.2,0.9,0.3,0.7,0.3,1.4,5.5,62,2021
2102,Tony Bradley,C,23,OKC,22,18.0,3.6,5.5,0.0,0.1,3.6,5.5,1.4,2.0,2.1,4.0,6.1,0.9,0.4,0.8,1.2,1.5,8.7,62,2021
2103,Jarrell Brantley,PF,24,UTA,28,4.9,0.9,1.9,0.4,1.0,0.5,0.9,0.1,0.1,0.3,0.6,1.0,0.5,0.3,0.1,0.3,0.6,2.3,63,2021
2104,Ignas Brazdeikis,SF,22,TOT,13,19.2,2.7,6.4,0.8,2.2,1.8,4.2,0.8,1.1,0.8,2.6,3.5,1.3,0.3,0.2,0.9,1.7,7.0,64,2021
2105,Ignas Brazdeikis,SF,22,NYK,4,1.8,0.0,0.3,0.0,0.0,0.0,0.3,0.5,0.5,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5,64,2021
2106,Ignas Brazdeikis,SF,22,PHI,1,8.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,64,2021
2107,Ignas Brazdeikis,SF,22,ORL,8,29.3,4.4,9.9,1.4,3.4,3.0,6.5,1.0,1.5,1.3,3.9,5.1,2.0,0.5,0.4,1.4,2.8,11.1,64,2021
2108,Mikal Bridges,SF,24,PHO,72,32.6,5.0,9.3,1.9,4.4,3.2,4.9,1.5,1.8,1.1,3.2,4.3,2.1,1.1,0.9,0.8,1.6,13.5,65,2021
2109,Miles Bridges,PF,22,CHO,66,29.3,4.7,9.4,1.8,4.4,3.0,5.0,1.5,1.7,1.2,4.8,6.0,2.2,0.7,0.8,1.6,2.2,12.7,66,2021
2110,Amida Brimah,C,26,IND,5,5.8,1.0,1.6,0.0,0.0,1.0,1.6,0.6,0.6,0.4,1.2,1.6,0.2,0.0,1.0,0.8,0.8,2.6,67,2021
2111,Oshae Brissett,SF,22,IND,21,24.7,3.5,7.2,1.6,3.7,1.9,3.5,2.4,3.1,1.4,4.1,5.5,0.9,0.9,1.0,0.5,1.5,10.9,68,2021
2112,Malcolm Brogdon,PG,28,IND,56,34.5,7.9,17.5,2.6,6.7,5.3,10.8,2.7,3.2,1.0,4.2,5.3,5.9,0.9,0.3,2.1,2.0,21.2,69,2021
2113,Armoni Brooks,SG,22,HOU,20,26.0,3.9,9.6,3.0,7.9,0.9,1.8,0.4,0.6,0.5,2.9,3.4,1.5,0.6,0.3,1.1,1.7,11.2,70,2021
2114,Dillon Brooks,SF,25,MEM,67,29.8,6.4,15.4,1.9,5.6,4.5,9.8,2.4,2.9,0.8,2.1,2.9,2.3,1.2,0.4,1.8,3.5,17.2,71,2021
2115,Bruce Brown,PG,24,BRK,65,22.3,3.6,6.5,0.3,0.9,3.4,5.6,1.3,1.8,1.7,3.7,5.4,1.6,0.9,0.4,0.8,2.2,8.8,72,2021
2116,Charlie Brown,SG,23,OKC,9,16.9,1.4,4.8,0.6,2.3,0.9,2.4,1.0,1.1,0.3,1.6,1.9,1.0,0.4,0.2,0.7,2.1,4.4,73,2021
2117,Jaylen Brown,SG,24,BOS,58,34.5,9.3,19.2,2.8,7.1,6.5,12.1,3.3,4.3,1.2,4.8,6.0,3.4,1.2,0.6,2.7,2.9,24.7,74,2021
2118,Moses Brown,C,21,OKC,43,21.4,3.4,6.2,0.0,0.0,3.4,6.2,1.8,2.9,3.6,5.3,8.9,0.2,0.7,1.1,1.0,2.2,8.6,75,2021
2119,Sterling Brown,SG,25,HOU,51,24.1,2.9,6.6,1.8,4.2,1.2,2.4,0.5,0.6,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2,76,2021
2120,Troy Brown Jr.,SF,21,TOT,34,15.4,1.8,4.2,0.6,2.1,1.2,2.2,0.4,0.6,0.6,2.5,3.1,0.9,0.3,0.2,0.6,1.4,4.7,77,2021
2121,Troy Brown Jr.,SF,21,WAS,21,13.7,1.6,4.2,0.7,2.2,0.9,2.0,0.5,0.7,0.5,2.4,2.9,0.9,0.1,0.2,0.8,1.4,4.3,77,2021
2122,Troy Brown Jr.,SF,21,CHI,13,18.2,2.2,4.2,0.6,1.8,1.6,2.4,0.4,0.5,0.7,2.7,3.4,0.8,0.5,0.2,0.4,1.5,5.5,77,2021
2123,Jalen Brunson,PG,24,DAL,68,25.0,4.8,9.2,1.2,2.9,3.6,6.3,1.8,2.2,0.4,3.0,3.4,3.5,0.5,0.0,1.2,1.6,12.6,78,2021
2124,Elijah Bryant,SG,25,MIL,1,32.0,6.0,13.0,1.0,5.0,5.0,8.0,3.0,3.0,2.0,4.0,6.0,3.0,0.0,1.0,4.0,4.0,16.0,79,2021
2125,Thomas Bryant,C,23,WAS,10,27.1,5.9,9.1,0.9,2.1,5.0,7.0,1.6,2.4,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3,80,2021
2126,Reggie Bullock,SF,29,NYK,65,30.0,3.8,8.6,2.5,6.1,1.3,2.5,0.8,0.8,0.2,3.2,3.4,1.5,0.8,0.2,0.7,2.2,10.9,81,2021
2127,Trey Burke,PG,28,DAL,62,14.7,2.4,5.7,0.9,2.6,1.5,3.0,0.8,0.9,0.2,0.7,0.9,1.3,0.6,0.1,0.5,1.0,6.6,82,2021
2128,Alec Burks,SG,29,NYK,49,25.6,4.3,10.2,2.1,5.0,2.2,5.2,2.1,2.4,0.4,4.2,4.6,2.2,0.6,0.3,1.0,2.1,12.7,83,2021
2129,Jimmy Butler,SF,31,MIA,52,33.6,7.0,14.2,0.5,2.0,6.6,12.2,6.9,8.0,1.8,5.1,6.9,7.1,2.1,0.3,2.1,1.4,21.5,84,2021
2130,Bruno Caboclo,PF,25,HOU,6,6.0,1.3,2.8,0.0,0.8,1.3,2.0,0.2,0.3,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8,85,2021
2131,Devontae Cacok,PF,24,LAL,20,4.9,0.9,1.5,0.0,0.0,0.9,1.5,0.3,0.6,0.6,1.0,1.6,0.1,0.3,0.2,0.3,0.4,2.0,86,2021
2132,Kentavious Caldwell-Pope,SG,27,LAL,67,28.4,3.3,7.6,1.8,4.4,1.5,3.2,1.4,1.7,0.4,2.3,2.7,1.9,0.9,0.4,1.0,1.7,9.7,87,2021
2133,Facundo Campazzo,PG,29,DEN,65,21.9,1.8,4.8,1.2,3.3,0.7,1.5,1.2,1.4,0.3,1.7,2.1,3.6,1.2,0.2,1.1,2.0,6.1,88,2021
2134,Vlatko Čančar,PF,23,DEN,41,6.9,0.8,1.8,0.2,0.8,0.6,1.0,0.2,0.3,0.3,1.0,1.2,0.3,0.3,0.0,0.3,0.4,2.1,89,2021
2135,Devin Cannady,PG,24,ORL,8,9.3,1.4,3.5,0.8,2.0,0.6,1.5,0.8,0.9,0.0,0.6,0.6,0.1,0.6,0.1,0.3,1.1,4.3,90,2021
2136,Clint Capela,C,26,ATL,63,30.1,6.6,11.0,0.0,0.0,6.6,11.0,2.1,3.6,4.7,9.6,14.3,0.8,0.7,2.0,1.2,2.3,15.2,91,2021
2137,Vernon Carey Jr.,C,19,CHO,19,6.1,0.9,1.9,0.1,0.4,0.9,1.5,0.5,0.6,0.3,1.1,1.4,0.1,0.1,0.3,0.3,0.7,2.4,92,2021
2138,Jevon Carter,PG,25,PHO,60,12.0,1.6,3.7,0.9,2.5,0.6,1.2,0.1,0.1,0.3,1.3,1.5,1.2,0.5,0.2,0.3,0.9,4.1,93,2021
2139,Wendell Carter Jr.,C,21,TOT,54,25.5,4.3,8.5,0.3,0.9,4.0,7.5,2.4,3.3,2.4,5.8,8.2,1.9,0.6,0.8,1.4,2.7,11.2,94,2021
2140,Wendell Carter Jr.,C,21,CHI,32,24.8,4.0,7.9,0.3,0.7,3.8,7.2,2.6,3.5,2.2,5.6,7.8,2.2,0.6,0.8,1.5,3.0,10.9,94,2021
2141,Wendell Carter Jr.,C,21,ORL,22,26.5,4.6,9.3,0.3,1.3,4.3,8.0,2.2,3.1,2.8,6.0,8.8,1.6,0.8,0.8,1.3,2.3,11.7,94,2021
2142,Michael Carter-Williams,SG,29,ORL,31,25.8,3.4,8.7,0.5,2.0,2.9,6.7,1.6,2.6,1.3,3.2,4.5,4.2,0.8,0.5,2.2,2.6,8.8,95,2021
2143,Alex Caruso,PG,26,LAL,58,21.0,2.3,5.3,0.9,2.4,1.3,2.9,0.8,1.3,0.5,2.4,2.9,2.8,1.1,0.3,1.3,1.9,6.4,96,2021
2144,Willie Cauley-Stein,C,27,DAL,53,17.1,2.2,3.4,0.0,0.2,2.2,3.2,0.9,1.5,1.2,3.2,4.5,0.7,0.4,0.8,0.5,2.4,5.3,97,2021
2145,Chris Chiozza,PG,25,BRK,22,10.5,1.4,4.0,0.6,1.9,0.8,2.1,0.6,0.8,0.1,1.0,1.1,3.0,0.3,0.3,0.7,0.9,4.0,98,2021
2146,Marquese Chriss,PF,23,GSW,2,13.5,2.5,7.0,0.5,2.5,2.0,4.5,1.0,2.0,1.5,5.0,6.5,1.0,0.0,1.0,1.0,1.5,6.5,99,2021
2147,Gary Clark,SF-PF,26,TOT,39,16.8,1.0,3.4,0.8,2.8,0.2,0.6,0.2,0.3,0.8,2.1,2.9,0.8,0.3,0.2,0.4,0.9,3.1,100,2021
2148,Gary Clark,SF,26,ORL,35,18.2,1.1,3.7,0.9,3.1,0.3,0.7,0.2,0.3,0.9,2.3,3.2,0.9,0.3,0.2,0.5,1.0,3.4,100,2021
2149,Gary Clark,SF,26,DEN,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,100,2021
2150,Gary Clark,PF,26,PHI,2,6.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,100,2021
2151,Brandon Clarke,PF,24,MEM,59,24.0,4.3,8.4,0.3,1.3,4.0,7.1,1.3,1.9,1.6,3.9,5.6,1.6,1.0,0.9,0.6,1.4,10.3,101,2021
2152,Jordan Clarkson,SG,28,UTA,68,26.7,6.7,15.8,3.1,8.8,3.7,7.0,1.9,2.1,0.7,3.3,4.0,2.5,0.9,0.1,1.7,1.6,18.4,102,2021
2153,Nicolas Claxton,C,21,BRK,32,18.6,2.8,4.5,0.0,0.2,2.8,4.4,1.0,2.0,1.3,3.8,5.2,0.9,0.7,1.3,0.6,2.1,6.6,103,2021
2154,Amir Coffey,SG,23,LAC,44,9.0,1.0,2.3,0.5,1.3,0.5,1.1,0.6,0.9,0.2,0.8,1.0,0.5,0.2,0.0,0.3,0.7,3.2,104,2021
2155,John Collins,PF,23,ATL,63,29.3,6.8,12.2,1.3,3.3,5.5,8.9,2.7,3.2,1.9,5.5,7.4,1.2,0.5,1.0,1.3,3.1,17.6,105,2021
2156,Mike Conley,PG,33,UTA,51,29.4,5.6,12.5,2.7,6.6,2.9,6.0,2.4,2.8,0.7,2.8,3.5,6.0,1.4,0.2,1.9,1.9,16.2,106,2021
2157,Pat Connaughton,SG,28,MIL,69,22.8,2.4,5.6,1.5,3.9,1.0,1.7,0.4,0.6,0.9,3.9,4.8,1.2,0.7,0.3,0.5,1.4,6.8,107,2021
2158,Quinn Cook,PG,27,TOT,23,6.8,1.3,3.0,0.5,1.1,0.8,1.8,0.3,0.3,0.1,0.7,0.7,0.8,0.2,0.0,0.3,0.4,3.3,108,2021
